u,x,y
4.8096,0.4576939542142491,0.4576939542142491
4.166631533119823,0.8106460305663605,0.8106460305663605
3.6708044562603765,1.0828260911816083,1.0828260911816083
3.288445907108076,1.2927185676962227,1.2927185676962227
2.993588956100346,1.4545777854429396,1.4545777854429396
2.766209127009758,1.5793960104913962,1.5793960104913962
2.590864484461686,1.6756499620496368,1.6756499620496368
2.45564693331267,1.7498764877591586,1.7498764877591586
2.3513735099959336,1.807116497438892,1.807116497438892
2.270962744397844,1.851257303933836,1.851257303933836
2.208953739433747,1.8852966202953414,1.8852966202953414
2.161135307809104,1.911546142004723,1.911546142004723
2.1242599797117645,1.9317885400204051,1.9317885400204051
2.0958234589793343,1.947398526440799,1.947398526440799
2.0738945500559653,1.9594362146562023,1.9594362146562023
2.0569840056509667,1.9687191143121527,1.9687191143121527
2.0439433882142874,1.97587765044305,1.97587765044305
2.033887076657603,1.9813979772198793,1.9813979772198793
2.026132121601513,1.9856549939011878,1.9856549939011878
2.020151864567611,1.9889378051834843,1.9889378051834843
2.015540171278241,1.991469355027414,1.991469355027414
2.0119838500574883,1.9934215673421642,1.9934215673421642
2.009241382197727,1.9949270217700126,1.9949270217700126
2.007126519817486,1.9960879575028754,1.9960879575028754
2.00549563729996,1.9969832166026569,1.9969832166026569
2.004237977316587,1.9976735983637257,1.9976735983637257
2.003268129018638,1.998205988345724,1.998205988345724
2.0025202275719267,1.9986165424897,1.9986165424897
2.001943481110469,1.9989331425588883,1.9989331425588883
2.0014987213332733,1.999177289659291,1.999177289659291
2.0011557434866276,1.999365564433797,1.999365564433797
2.0008912550834013,1.9995107530952918,1.9995107530952918
2.0006872940517337,1.9996227157704933,1.9996227157704933
2.0005300088856104,1.999709056125926,1.999709056125926
2.0004087179542984,1.9997756377520157,1.9997756377520157
2.000315184085968,1.9998269823742438,1.9998269823742438
2.000243055160662,1.9998665769348842,1.9998665769348842
2.0001874327218743,1.9998971104000123,1.9998971104000123
2.000144539310062,1.9999206563739451,1.9999206563739451
2.0001114619258815,1.9999388139229204,1.9999388139229204
2.000085954201081,1.999952816171701,1.999952816171701
2.000066283841994,1.9999636140481756,1.9999636140481756
2.0000511149851223,1.9999719408632597,1.9999719408632597
